rent_exp,time,cpd,fmax,total_wirelength,average_net_length,estimate_distance_1,estimate_distance_2,packing_time,routing_time,placement_time
0.4,36.8,21.3512,46.8357,39189,8.37551,77882,28294,3.35,16.62,0.79
0.41,33.74,21.0135,47.5885,39548,8.32589,80597,28676,3.15,15.23,0.79
0.42,35.56,20.4122,48.9902,42311,8.87395,82275,31293,3.14,16.48,0.78
0.43,36.63,21.8793,45.7053,42180,8.78201,82114,31759,3.25,16.77,0.93
0.44,37.79,21.0702,47.4605,43411,8.88477,90358,31952,3.12,17.91,0.83
0.45,47.37,22.3293,44.7842,48837,9.71301,92303,34989,3.31,23.49,0.86
0.46,48.38,22.7492,43.9576,45487,8.86686,97496,33104,3.12,20.59,0.95
0.47,60.5,20.576,48.6003,49840,9.8265,101669,35953,3.14,29.06,0.93
0.48,66.15,23.8452,41.9371,51302,9.84117,114865,37782,3.13,32.72,1.0
0.49,76.26,22.3625,44.7178,53341,10.0643,117889,38111,3.39,34.7,1.11
0.5,90.23,21.8381,45.7915,53602,10.0416,125425,39239,3.37,46.89,1.09
0.51,99.76,21.2842,46.9831,58082,10.7559,130990,43904,3.3,50.1,1.13
0.52,125.4,22.3614,44.72,64154,11.3467,153406,48516,3.41,63.37,1.33
0.53,150.95,22.5535,44.339,66150,11.4864,162549,50693,3.46,78.75,1.5
0.54,177.92,23.7163,42.1651,72696,12.5381,165017,54731,3.53,89.44,1.59
0.55,208.59,23.4905,42.5704,75866,12.7377,188517,58972,3.55,113.54,1.56
0.56,285.03,23.9592,41.7376,79018,13.05,201418,63460,3.58,135.57,1.75
0.57,305.09,24.2194,41.2891,84964,13.616,214689,69334,3.71,143.1,1.96
0.58,411.37,24.504,40.8097,97191,15.3468,218268,76911,4.04,212.36,2.26
0.59,485.22,24.6263,40.607,105161,16.527,244961,83544,4.04,244.09,2.21
0.6,597.32,25.5921,39.0746,118303,17.9737,270103,94993,4.76,291.22,2.27
0.61,810.42,25.2856,39.5482,128299,19.2352,288559,107092,4.76,414.23,2.55
0.62,851.12,25.8153,38.7367,137059,20.1439,294058,120481,5.35,402.02,2.69
0.63,1024.61,25.5621,39.1204,155190,22.4328,345007,137302,6.01,480.95,2.8
0.64,1472.48,25.5257,39.1763,178693,25.2178,386944,157972,7.34,695.55,3.34
0.65,1765.83,25.9466,38.5406,203985,28.0623,414546,182516,8.55,915.34,3.22
0.66,2792.72,27.9036,35.8377,234035,31.5751,493275,211196,10.39,1695.94,3.53
0.67,3405.41,27.0234,37.005,262390,34.4706,494793,242319,13.78,2077.85,3.94
0.68,4608.06,27.5961,36.237,306038,39.1754,600495,283170,16.51,3022.92,4.24
0.69,6224.26,29.0313,34.4455,357102,44.5876,645198,331837,23.25,4333.23,4.74
0.7,4719.9,30.4272,32.8654,410929,50.1561,765641,389905,29.94,2424.53,7.9
0.71,7985.0,29.9077,33.4362,486396,57.9526,815293,458175,40.5,5328.61,8.39
0.72,18510.04,29.8989,33.446,567359,66.5212,904918,542709,55.49,15213.41,9.74
0.73,29897.09,31.0182,32.2392,671862,75.848,1041093,641247,80.01,25736.38,10.03
0.74,33795.22,31.3566,31.8913,786824,86.6833,1117500,758584,112.42,28756.2,10.95
0.75,48351.8,33.3102,30.0208,930491,99.4646,1270764,903018,152.94,41940.41,11.72
0.76,78320.57,33.5078,29.8438,1095947,113.37,1552996,1067806,215.33,71270.12,12.11
0.77,,,,,,,,323.77,,
0.78,,,,,,,,466.29,,
0.79,,,,,,,,656.76,,
0.8,,,,,,,,918.97,,
