time,cpd,fmax,total_wirelength,average_net_length,rent_exp
166.58,23.2125,43.0803,91552,11.0798,0.51
2298.06,27.0821,36.9248,246330,23.9831,0.63
4549.24,27.3197,36.6036,336301,31.2112,0.65
82.64,22.389,44.6647,69041,8.95938,0.47
51.98,20.845,47.9731,63142,8.48455,0.44
69.67,21.4516,46.6166,68995,9.07829,0.46
52.21,20.255,49.3705,62127,8.69274,0.42
1520.07,26.4005,37.8781,224442,22.0517,0.62
553.23,23.0041,43.4705,139703,15.0688,0.57
876.18,24.8992,40.1619,162369,16.9293,0.59
2882.51,26.9839,37.0592,286737,27.0481,0.64
234.35,24.5331,40.7613,99433,11.5903,0.53
123.87,23.5102,42.5348,82767,10.3021,0.5
,,,,,0.68
57.39,20.793,48.0932,64202,8.79841,0.43
114.06,21.5654,46.3707,77866,9.83032,0.49
52.73,20.9823,47.6593,58548,8.16797,0.41
331.01,23.7431,42.1174,107942,12.2189,0.55
663.24,23.7725,42.0654,148441,15.8845,0.58
304.79,23.0692,43.3478,105409,12.1188,0.54
996.69,24.954,40.0737,176355,17.9862,0.6
180.86,22.7383,43.9786,96123,11.4025,0.52
,,,,,0.69
88.13,23.4115,42.714,74722,9.56013,0.48
415.14,24.4635,40.8772,123186,13.6706,0.56
6278.09,28.8519,34.6597,387868,34.9431,0.66
54.59,21.379,46.775,52220,7.40289,0.4
1208.13,25.4892,39.2323,195933,19.6937,0.61
62.31,22.075,45.3001,62382,8.27567,0.45
6267.37,29.8876,33.4587,448409,39.4692,0.67
