time,cpd,fmax,total_wirelength,average_net_length,estimate_distance,rent_exp
268.97,22.3862,44.6704,121320,11.1436,363807,0.51
4706.33,27.3014,36.6281,356732,26.0979,957473,0.63
9440.53,28.5621,35.0114,474761,33.5378,1193485,0.65
85407.93,35.748,27.9736,1479628,88.9788,2633950,0.72
129.4,21.5655,46.3704,96753,9.40354,279428,0.47
108.78,21.662,46.1637,82176,8.35207,237812,0.44
100.18,21.5364,46.4331,89647,8.98987,256600,0.46
107.27,21.6811,46.1232,79155,8.30936,221523,0.42
3445.3,27.6874,36.1175,315011,23.4802,853123,0.62
980.72,25.493,39.2265,184832,15.1415,570956,0.57
1697.27,25.8361,38.7056,232619,18.3136,705999,0.59
5118.99,27.6344,36.1867,413692,29.5073,1034498,0.64
418.18,23.5059,42.5425,131899,11.7337,407363,0.53
,,,,,,0.75
221.31,22.2263,44.9917,111059,10.3677,347930,0.5
22440.04,32.0388,31.2122,746454,49.2092,1627924,0.68
99.83,22.6545,44.1414,78699,8.23211,227409,0.43
163.66,22.4012,44.6404,106022,10.0229,313984,0.49
115567.68,36.2913,27.5548,1762604,103.397,3060832,0.73
109.1,20.9669,47.6943,76778,8.01859,219918,0.41
611.18,24.0207,41.6308,152255,13.1141,472833,0.55
1247.86,24.7949,40.3309,202830,16.3335,620607,0.58
450.25,23.127,43.2396,140624,12.2548,444079,0.54
1845.1,26.3668,37.9265,246566,19.0619,716693,0.6
38138.45,31.9985,31.2515,1044386,65.7301,2076005,0.7
354.43,22.9644,43.5456,121180,10.8867,393211,0.52
33020.21,31.3839,31.8635,888960,57.5826,1819805,0.69
145.7,22.3286,44.7856,98263,9.41397,299390,0.48
85921.17,33.7893,29.5951,1243934,76.5309,2163136,0.71
716.33,24.7996,40.3233,163010,13.6822,532035,0.56
8682.79,29.5408,33.8515,551537,38.0975,1275369,0.66
94.51,21.7607,45.9545,76116,8.07425,216375,0.4
2551.34,26.8836,37.1974,273551,20.7393,811734,0.61
116.5,22.6836,44.0847,83250,8.39806,239901,0.45
13348.0,30.1645,33.1516,644698,43.4257,1393589,0.67
